Experiment;Citation;Depth;Sample_date;Time_years;ambient_CO2;increased_CO2
;Van Kessel et al. 2006;0-10 cm;May-98;5;3034;3291
;Van Kessel et al. 2006;0-10 cm;May-99;6;2758;2911
;Van Kessel et al. 2006;0-10 cm;May-00;7;2544;2987
;Van Kessel et al. 2006;0-10 cm;May-01;8;3443;3145
;Van Kessel et al. 2006;0-10 cm;May-02;9;3053;3591
;Van Kessel et al. 2006;0-10 cm;May-03;10;2999;3076
;;;;;;
SwissFACE- clover - high N;Van Kessel et al. 2006;0-10 cm;May-95;2;2916;3496
;Van Kessel et al. 2006;0-10 cm;May-96;3;3256;3688
;Van Kessel et al. 2006;0-10 cm;May-97;4;2725;2996
;Van Kessel et al. 2006;0-10 cm;May-98;5;3233;3406
;Van Kessel et al. 2006;0-10 cm;May-99;6;2759;3153
;Van Kessel et al. 2006;0-10 cm;May-00;7;2630;2434
;Van Kessel et al. 2006;0-10 cm;May-01;8;3528;3572
;Van Kessel et al. 2006;0-10 cm;May-02;9;3209;3456
;Van Kessel et al. 2006;0-10 cm;May-03;10;2993;3236
;;;;;;
Swiss Greenhouse;Körner and Arnone 1992;0-20 cm;-;0;1280;1280
;Körner and Arnone 1992;0-20 cm;-;0,25;1205;980
;;;;;;
Tallgrass Prairie;Rice et al. 1994;0-5 cm;nov. 1992;2,5;2985;2860
;Williams et al. 2000;0-5 cm;oct. 1996;8;2181;2372
;;;;;;
UMBS - aspen;Zak et al. 1993;0-15 cm;May-91;0;297;297
;Zak et al. 1993;0-15 cm;oct. 1991;0,5;242;290
;;;;;;
WSL - loam, low N;Hagedorn et al. 2001;0-10 cm;jan. 1995;0;1290;1290
;Hagedorn et al. 2001;0-10 cm;sept. 1998;3,75;1317;1471
;;;;;;
WSL - loam, high N;Hagedorn et al. 2001;0-10 cm;jan. 1995;0;1290;1290
;Hagedorn et al. 2001;0-10 cm;sept. 1998;3,75;1482;1547
;;;;;;
WSL - sand, low N;Hagedorn et al. 2001;0-10 cm;jan. 1995;0;1310;1310
;Hagedorn et al. 2001;0-10 cm;sept. 1998;3,75;1167;1214
;;;;;;
WSL - sand, high N;Hagedorn et al. 2001;0-10 cm;jan. 1995;0;1310;1310
;Hagedorn et al. 2001;0-10 cm;sept. 1998;3,75;1120;1183
